Brodmann_Area,gyrus,lobe,hemisphere,elecs
Brodmann area 4,Precentral Gyrus,Frontal Lobe,Right Cerebrum,1
Brodmann area 6,Precentral Gyrus,Frontal Lobe,Right Cerebrum,2
Brodmann area 6,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,3
Brodmann area 6,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,4
Brodmann area 6,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,5
Brodmann area 8,Superior Frontal Gyrus,Frontal Lobe,Right Cerebrum,6
Brodmann area 8,Superior Frontal Gyrus,Frontal Lobe,Right Cerebrum,7
Brodmann area 8,Superior Frontal Gyrus,Frontal Lobe,Right Cerebrum,8
Brodmann area 4,Precentral Gyrus,Frontal Lobe,Right Cerebrum,9
Brodmann area 6,Precentral Gyrus,Frontal Lobe,Right Cerebrum,10
Brodmann area 6,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,11
Brodmann area 6,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,12
Brodmann area 8,Superior Frontal Gyrus,Frontal Lobe,Right Cerebrum,13
Brodmann area 8,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,14
Brodmann area 9,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,15
Brodmann area 9,Superior Frontal Gyrus,Frontal Lobe,Right Cerebrum,16
Brodmann area 3,Postcentral Gyrus,Parietal Lobe,Right Cerebrum,17
Brodmann area 4,Precentral Gyrus,Frontal Lobe,Right Cerebrum,18
Brodmann area 6,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,19
Brodmann area 6,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,20
Brodmann area 8,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,21
Brodmann area 9,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,22
Brodmann area 9,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,23
Brodmann area 9,Superior Frontal Gyrus,Frontal Lobe,Right Cerebrum,24
Brodmann area 2,Postcentral Gyrus,Parietal Lobe,Right Cerebrum,25
Brodmann area 4,Precentral Gyrus,Frontal Lobe,Right Cerebrum,26
Brodmann area 6,Precentral Gyrus,Frontal Lobe,Right Cerebrum,27
Brodmann area 8,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,28
Brodmann area 9,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,29
Brodmann area 9,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,30
Brodmann area 46,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,31
Brodmann area 46,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,32
Brodmann area 2,Postcentral Gyrus,Parietal Lobe,Right Cerebrum,33
Brodmann area 6,Precentral Gyrus,Frontal Lobe,Right Cerebrum,34
Brodmann area 6,Precentral Gyrus,Frontal Lobe,Right Cerebrum,35
Brodmann area 9,Inferior Frontal Gyrus,Frontal Lobe,Right Cerebrum,36
Brodmann area 9,Inferior Frontal Gyrus,Frontal Lobe,Right Cerebrum,37
Brodmann area 46,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,38
Brodmann area 46,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,39
Brodmann area 46,Middle Frontal Gyrus,Frontal Lobe,Right Cerebrum,40
Brodmann area 5,Paracentral Lobule,Frontal Lobe,Left Cerebrum,41
Brodmann area 31,Paracentral Lobule,Frontal Lobe,Right Cerebrum,42
Brodmann area 24,Cingulate Gyrus,Limbic Lobe,Left Cerebrum,43
Brodmann area 24,Cingulate Gyrus,Limbic Lobe,Right Cerebrum,44
Brodmann area 32,Cingulate Gyrus,Limbic Lobe,Right Cerebrum,45
Brodmann area 32,Cingulate Gyrus,Limbic Lobe,Right Cerebrum,46
Brodmann area 9,Medial Frontal Gyrus,Frontal Lobe,Right Cerebrum,47
Brodmann area 9,Medial Frontal Gyrus,Frontal Lobe,Right Cerebrum,48
Brodmann area 5,Paracentral Lobule,Frontal Lobe,Right Cerebrum,49
Brodmann area 6,Medial Frontal Gyrus,Frontal Lobe,Left Cerebrum,50
Brodmann area 6,Medial Frontal Gyrus,Frontal Lobe,Left Cerebrum,51
Brodmann area 6,Medial Frontal Gyrus,Frontal Lobe,Right Cerebrum,52
Brodmann area 6,Superior Frontal Gyrus,Frontal Lobe,Right Cerebrum,53
Brodmann area 8,Medial Frontal Gyrus,Frontal Lobe,Right Cerebrum,54
Brodmann area 8,Medial Frontal Gyrus,Frontal Lobe,Right Cerebrum,55
Brodmann area 8,Medial Frontal Gyrus,Frontal Lobe,Right Cerebrum,56
Brodmann area 25,Medial Frontal Gyrus,Frontal Lobe,Right Cerebrum,57
Brodmann area 47,Inferior Frontal Gyrus,Frontal Lobe,Right Cerebrum,58
Brodmann area 47,Inferior Frontal Gyrus,Frontal Lobe,Right Cerebrum,59
Brodmann area 47,Inferior Frontal Gyrus,Frontal Lobe,Right Cerebrum,60
Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,Right Cerebrum,61
Brodmann area 47,Inferior Frontal Gyrus,Frontal Lobe,Right Cerebrum,62
